"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"Gainesville, FL Metro Area",264275,6844,4019,3656,3650,2362,3046,1236,867,228,45,147,116,0,80,0,0,0,105,0,0,0,0,46,0,52,0,0,0,0,58,0,0,0,37,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holland-Grand Haven, MI Metro Area",263801,4674,1786,2260,1177,1280,625,281,169,154,0,0,0,353,1636,864,1181,2530,2046,1218,1158,1031,863,725,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santa Cruz-Watsonville, CA Metro Area",262382,7973,5444,5771,5287,2122,1478,3725,924,1565,38,119,244,301,817,8275,7503,7880,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cedar Rapids, IA Metro Area",257940,2115,2874,2400,3186,2219,2013,715,411,66,0,54,32,35,60,0,0,207,34,28,460,0,0,335,12,0,0,0,0,0,0,284,16,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merced, CA Metro Area",255793,5572,4471,2150,871,0,0,2193,4817,1690,922,0,0,0,256,3292,0,0,118,5046,0,20,156,0,692,1026,2040,2951,2145,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kennewick-Pasco-Richland, WA Metro Area",253340,5985,2916,3387,2073,1171,2708,2244,1403,1229,3360,1646,1133,950,29,148,0,150,0,0,74,0,0,0,2,0,0,0,0,0,0,19,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greeley, CO Metro Area",252825,6274,4392,4527,3037,1558,1191,100,59,0,157,2696,2224,802,357,0,34,0,0,0,2,0,98,2267,1131,364,418,347,224,0,58,81,0,1175,3109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lynchburg, VA Metro Area",252634,3947,1523,3046,1634,912,1589,620,756,773,1280,0,133,0,34,0,20,104,29,46,59,0,824,39,94,39,0,0,0,46,0,0,63,70,116,164,140,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olympia, WA Metro Area",252264,3006,3133,2277,1596,2512,2824,1437,396,130,0,115,0,0,149,506,329,140,214,73,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Binghamton, NY Metro Area",251725,7052,4771,3960,1083,628,526,2429,2975,619,118,0,439,66,104,0,0,0,938,55,59,0,0,80,47,0,0,0,0,0,0,72,0,2671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bremerton-Silverdale, WA Metro Area",251133,7022,3960,2612,2301,2056,514,1864,1359,475,462,334,1236,0,725,252,716,0,301,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Laredo, TX Metro Area",250304,6500,8375,8182,6375,4389,3467,1854,257,0,731,0,0,146,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amarillo, TX Metro Area",249881,2999,3233,3727,2789,3645,2990,2573,547,22,0,248,0,48,0,0,0,1424,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gulfport-Biloxi, MS Metro Area",248820,2084,2985,1062,1735,1622,1532,1546,1770,1211,1067,1134,847,1937,408,87,420,760,0,492,0,33,0,0,0,0,54,0,0,22,30,34,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yakima, WA Metro Area",243231,6855,5681,3256,1688,1879,490,127,0,0,223,0,764,0,4,0,2,49,97,2578,0,0,0,0,0,0,180,26,0,0,0,2446,0,0,0,75,0,0,2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Waco, TX Metro Area",234906,5191,3216,4291,1876,1930,1126,214,550,771,149,38,48,113,56,0,78,90,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Topeka, KS Metro Area",233870,3679,3873,1736,2946,1948,1826,454,237,49,0,0,46,0,0,0,0,47,0,0,27,0,0,20,26,11,0,22,0,98,393,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macon, GA Metro Area",232293,2499,2674,2315,1783,1641,894,769,755,602,183,0,0,202,48,0,67,17,31,0,21,0,0,40,138,24,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Champaign-Urbana, IL Metro Area",231891,20707,5878,3508,954,541,0,0,0,188,0,432,74,0,544,488,27,0,0,234,0,0,0,0,30,947,549,13,0,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"College Station-Bryan, TX Metro Area",228660,6546,5490,2871,3220,2719,2282,1012,81,0,45,0,0,0,0,16,0,0,20,13,0,0,0,0,176,0,0,0,17,0,0,0,14,16,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sioux Falls, SD Metro Area",228261,4957,3419,3433,2475,2488,3341,65,409,646,25,33,0,39,0,35,0,0,13,87,165,0,0,0,15,0,0,0,10,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Appleton, WI Metro Area",225666,5702,4006,2797,1534,2624,2473,1115,495,0,167,0,101,70,0,119,0,60,104,0,137,30,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chico, CA Metro Area",220000,3936,4771,4131,2103,1030,43,0,0,24,0,98,1290,1207,810,1424,0,24,0,0,536,109,2608,1424,756,204,284,101,195,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuscaloosa, AL Metro Area",219461,6186,3074,2096,2318,1157,681,548,315,57,0,75,0,22,29,0,28,26,0,61,0,0,0,0,0,170,0,0,0,0,0,18,0,20,0,0,0,61,0,0,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnstable Town, MA Metro Area",215888,2239,1459,1111,1300,1098,572,669,869,586,730,592,648,0,708,370,685,766,695,1003,487,369,0,0,139,0,0,0,96,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Longview, TX Metro Area",214369,0,2343,1813,1735,2024,1315,279,127,0,533,267,145,0,270,58,0,0,0,61,106,240,89,821,0,1012,44,0,27,0,0,0,0,0,0,0,0,0,0,14,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burlington-South Burlington, VT Metro Area",211261,8939,4737,1573,2274,832,2383,309,0,266,0,0,169,0,113,47,118,0,94,72,0,0,0,0,1317,3511,0,0,29,0,0,111,0,0,56,0,0,0,50,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prescott, AZ Metro Area",211033,2154,434,986,1892,214,306,0,0,1108,2391,1212,0,0,0,165,43,0,28,0,0,0,32,0,0,0,0,0,4,184,1098,0,0,151,294,0,0,0,11,61,0,4,82,0,114,213,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Springfield, IL Metro Area",210170,4560,3665,2912,1852,1327,640,154,92,998,188,0,0,0,24,47,0,167,187,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler, TX Metro Area",209714,2872,2593,2265,2339,1921,566,476,0,0,284,759,192,148,43,195,78,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Las Cruces, NM Metro Area",209233,3712,4198,2753,567,666,25,0,898,19,0,0,50,228,0,0,0,0,2,0,74,13,0,0,3629,0,0,87,0,180,0,0,0,8,0,14,0,1921,4945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fargo, ND-MN Metro Area",208777,4747,4996,3657,2316,3881,2336,513,0,38,0,7,0,0,0,0,0,0,11,0,0,11,17,5,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Houma-Bayou Cane-Thibodaux, LA Metro Area",208178,1526,2323,1888,28,977,432,321,47,245,156,1296,702,532,42,1371,1646,69,47,0,95,807,0,0,217,0,25,0,36,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florence, SC Metro Area",205566,1711,1894,1137,1980,1219,208,794,246,0,357,287,0,38,67,0,74,69,0,48,65,432,692,399,211,122,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medford, OR Metro Area",203206,6454,2934,2867,2290,1135,276,242,784,68,0,40,435,1199,2664,0,0,4,0,30,27,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lafayette, IN Metro Area",201789,5745,9386,3342,2054,1276,195,65,107,106,0,32,0,0,0,0,35,711,24,205,36,0,129,0,0,36,0,29,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charlottesville, VA Metro Area",201559,4372,7633,2182,2845,0,176,363,47,0,172,0,718,298,47,267,46,84,0,0,67,41,55,0,0,0,0,0,0,29,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bellingham, WA Metro Area",201140,4513,5394,3488,688,158,0,0,272,205,883,216,0,0,1198,409,115,0,5,403,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Havasu City-Kingman, AZ Metro Area",200186,2405,1313,1822,266,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,93,66,0,0,0,959,374,231,0,741,0,3152,1993,0,0,639,296,47,1337,472,0,2379,3422,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,2,0,0
"Saginaw-Saginaw Township North, MI Metro Area",200169,3350,4088,2444,1781,1682,775,243,159,320,55,102,218,0,93,121,0,51,55,139,66,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Charles, LA Metro Area",199607,2053,2782,3094,1617,1988,1076,500,2338,903,610,0,30,678,34,0,0,0,0,6,0,172,559,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson City, TN Metro Area",198716,2929,3243,1156,699,857,564,850,576,1214,283,0,49,1029,167,103,128,0,0,64,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elkhart-Goshen, IN Metro Area",197559,5373,2160,1777,897,699,1003,0,275,1449,1566,4393,786,216,690,0,123,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yuma, AZ Metro Area",195751,4028,5630,5181,4129,547,308,793,0,0,2754,2309,784,329,1577,253,0,23,930,3136,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Racine, WI Metro Area",195408,7491,6377,3809,1997,1402,783,1109,197,0,0,92,0,109,893,0,777,0,97,171,0,634,2068,233,0,864,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloomington, IN Metro Area",192714,7109,5258,2428,1389,948,417,262,0,59,140,0,0,59,0,193,0,52,55,0,0,0,35,45,300,56,0,0,0,0,26,0,0,0,47,1191,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Athens-Clarke County, GA Metro Area",192541,5448,3578,1955,830,1269,371,313,205,0,189,0,56,0,0,0,75,0,63,0,11,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greenville, NC Metro Area",189510,4479,3624,2483,0,1273,592,300,99,0,85,200,102,203,0,0,85,178,50,0,0,134,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St. Cloud, MN Metro Area",189093,4426,3598,1019,1609,877,49,459,472,0,0,91,0,0,23,66,117,0,0,0,0,59,42,0,0,0,0,0,0,0,35,119,0,0,94,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anderson, SC Metro Area",187126,1447,1666,1192,1274,511,338,0,253,535,172,128,166,322,113,268,0,0,280,403,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rochester, MN Metro Area",186011,4138,2243,2257,2748,145,884,0,27,0,483,0,512,0,31,780,48,0,217,25,38,0,0,0,0,0,21,0,0,19,0,1377,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kingston, NY Metro Area",182493,4840,1757,2089,0,355,201,0,246,303,575,2186,0,746,520,925,0,89,0,215,0,229,632,126,324,0,407,6,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crestview-Fort Walton Beach-Destin, FL Metro Area",180822,0,726,729,0,251,68,0,31,0,0,0,0,0,23,0,0,0,929,2917,0,1412,3719,3620,3182,2583,1729,2243,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gainesville, GA Metro Area",179684,1955,3160,1353,849,787,433,862,303,323,596,601,0,553,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacksonville, NC Metro Area",177772,1874,2657,2122,1303,739,1030,0,860,320,196,37,12,0,305,374,300,57,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Redding, CA Metro Area",177223,2503,2251,2678,1383,167,168,881,292,1088,668,0,0,137,270,0,0,0,0,8,6,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monroe, LA Metro Area",176441,1613,2061,2592,788,1654,1196,938,228,151,180,82,0,0,102,0,64,0,0,30,0,0,0,0,0,0,457,0,0,13,0,0,0,0,32,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joplin, MO Metro Area",175518,3422,2959,906,585,0,660,115,285,0,0,83,844,613,44,0,0,349,798,68,54,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Centro, CA Metro Area",174528,7950,3239,1234,191,0,0,47,0,1693,7959,12,1081,2052,3577,0,6,0,36,0,0,0,0,0,0,0,55,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbia, MO Metro Area",172786,6707,2554,1701,1198,652,0,70,56,0,0,0,0,53,73,0,0,0,0,0,0,161,17,0,52,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terre Haute, IN Metro Area",172425,5345,3293,2808,1258,318,283,173,196,88,0,42,0,73,949,0,568,806,0,58,0,34,0,0,0,16,293,0,36,0,0,0,0,0,44,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muskegon-Norton Shores, MI Metro Area",172188,3978,3528,3145,1656,786,618,464,269,228,242,0,233,89,175,0,0,86,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bloomington-Normal, IL Metro Area",169572,5742,3216,7122,2142,1433,99,0,0,66,23,37,42,0,0,0,141,0,0,19,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama City-Lynn Haven-Panama City Beach, FL Metro Area",168852,0,2408,2241,1778,1544,1911,2401,375,933,65,639,287,0,806,0,389,0,0,642,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Waterloo-Cedar Falls, IA Metro Area",167819,4645,3293,2837,1317,2025,884,6288,180,32,23,0,0,95,0,23,33,279,647,0,0,29,0,0,0,45,15,0,308,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oshkosh-Neenah, WI Metro Area",166994,7693,3222,0,1003,0,109,0,0,99,564,1945,3184,3271,1852,2354,2230,3569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
