"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"Providence-New Bedford-Fall River, RI-MA Metro Area",1600852,11829,13798,8380,6302,7304,4759,2139,2252,1800,1861,3219,1787,2841,4529,1677,6259,4793,3200,768,840,607,1314,1472,2996,2024,1268,2401,10094,7289,8550,1078,767,173,0,0,0,632,2424,2012,289,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1589934,2727,4934,4543,2692,2829,2803,2497,2739,2864,2326,2699,2114,1538,1010,686,1565,1516,660,1464,422,1019,301,546,758,819,372,493,569,996,1890,768,2432,1469,1630,253,195,42,76,113,0,75,0,77,63,79,43,408,69,84,80,22,38,60,0,0,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Milwaukee-Waukesha-West Allis, WI Metro Area",1555908,13686,15144,14616,10710,7507,6125,6099,3945,3032,2660,2271,1650,1155,1326,1427,3404,1979,2530,1812,739,446,1488,466,576,996,497,225,710,1237,1261,1402,642,110,0,0,79,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacksonville, FL Metro Area",1345596,9240,3897,3835,3417,3302,3551,2658,2662,2219,2443,2705,2463,1796,2570,1594,2290,2143,894,1008,798,562,225,300,2007,454,793,0,599,165,75,47,159,3,0,0,1148,1855,744,1004,1767,1343,474,304,1940,451,0,59,174,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memphis, TN-MS-AR Metro Area",1316100,4492,3603,4526,3844,2585,3578,3781,3152,2335,3016,3338,2516,3204,3218,2890,2244,2213,1117,861,1460,900,206,1210,995,103,245,67,108,85,221,0,152,0,44,50,72,672,72,0,25,0,46,433,286,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Louisville/Jefferson County, KY-IN Metro Area",1283566,5952,6174,4561,4991,4169,3440,3411,3592,2711,2483,2720,2531,2198,1992,663,489,145,733,965,222,357,202,125,567,147,599,56,868,1355,455,437,103,131,0,425,39,40,71,0,29,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Richmond, VA Metro Area",1258251,7097,7958,6302,2843,2850,2569,2501,1981,2078,3074,2034,1896,1836,1679,1145,1219,986,1030,1542,1000,2357,828,1360,940,654,91,109,41,73,53,72,59,83,0,163,0,310,43,26,61,15,0,39,0,52,0,57,0,0,0,0,44,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oklahoma City, OK Metro Area",1252987,5749,3862,4611,4305,3953,3810,3689,3366,3714,2432,2768,1952,3153,2354,723,905,2098,1643,4118,1753,359,176,0,229,500,2859,0,68,522,430,0,25,382,87,0,16,207,1304,625,433,0,32,28,0,0,37,15,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hartford-West Hartford-East Hartford, CT Metro Area",1212381,13341,12326,7236,3169,2893,1663,2548,3051,5258,2600,1205,2365,1505,1804,1786,1622,1594,900,583,1369,399,6560,274,1129,185,108,167,185,0,343,0,642,694,0,665,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Orleans-Metairie-Kenner, LA Metro Area",1167764,6728,10426,7614,5211,5887,4508,5720,4454,4275,4008,5837,4769,5790,1023,105,389,754,1478,1050,0,2557,170,1,58,27,2348,2540,999,1326,1383,1606,1203,1340,239,1348,420,1183,174,0,383,0,0,122,154,69,107,19,0,0,0,0,0,0,229,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
